V1_gene	Module	Mapped_v3	MapMan_v3	Mapped_v5	MapMan_v5	GO_v5
VIT_13s0019g02930	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_19s0014g02390	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_08s0007g07330	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_19s0015g02690	M2	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_07s0129g00160	M2	FALSE	FALSE	FALSE	FALSE	FALSE
VIT_08s0007g00780	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_18s0001g13030	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_06s0004g04700	M1	TRUE	TRUE	TRUE	FALSE	TRUE
VIT_00s1566g00010	M1	FALSE	FALSE	FALSE	FALSE	FALSE
VIT_09s0002g02120	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_11s0052g01250	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_01s0011g00060	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_17s0000g05580	M10	FALSE	FALSE	FALSE	FALSE	FALSE
VIT_01s0011g00610	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_18s0001g08420	M1	FALSE	FALSE	FALSE	FALSE	FALSE
VIT_07s0005g02710	M6	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_09s0002g06420	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_15s0046g03520	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_05s0049g00550	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_01s0011g04550	M7	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_16s0050g01990	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_13s0019g04300	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_13s0067g01160	M3	FALSE	FALSE	FALSE	FALSE	FALSE
VIT_01s0011g01050	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_07s0104g00150	M2	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_01s0011g01160	M1	FALSE	FALSE	FALSE	FALSE	FALSE
VIT_06s0004g04180	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_04s0079g00690	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_16s0098g00790	M10	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_13s0067g01450	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_05s0020g02690	M1	TRUE	TRUE	TRUE	FALSE	TRUE
VIT_07s0005g00010	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_01s0026g01950	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_00s0904g00010	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_07s0104g00420	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_06s0004g00960	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_04s0044g01230	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_17s0000g00010	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_02s0025g02500	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_01s0011g02720	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_09s0002g01000	M5	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_01s0011g04210	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_13s0019g03350	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_04s0008g01490	M8	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_06s0004g02850	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_11s0016g04080	M8	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_09s0002g07110	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_10s0003g03810	M7	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_08s0032g00910	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_03s0038g00440	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_10s0116g00500	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_01s0146g00070	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_02s0012g02220	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_11s0016g04790	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_14s0108g01320	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_01s0127g00560	M1	FALSE	FALSE	TRUE	TRUE	TRUE
VIT_01s0127g00680	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_17s0000g01930	M10	TRUE	TRUE	TRUE	TRUE	TRUE
