"Module"	"Gene1"	"Gene2"	"Pearson_r"	"Beta10_unsigned_adjacency"
"M10"	"VIT_16s0098g00790"	"VIT_17s0000g01930"	0.938539203568031	0.530303119433669
"M10"	"VIT_02s0033g01120"	"VIT_12s0142g00160"	0.803603410613663	0.112309815271178
"M10"	"VIT_18s0001g12830"	"VIT_12s0142g00160"	0.833974087170988	0.162751712374789
"M10"	"VIT_17s0000g00430"	"VIT_12s0142g00160"	0.719643476559124	0.0372540874283744
"M10"	"VIT_08s0040g01890"	"VIT_12s0142g00160"	0.708861549582276	0.0320342232394424
"M10"	"VIT_08s0007g08010"	"VIT_12s0142g00160"	0.691594297806874	0.0250330656662713
"M10"	"VIT_13s0019g02180"	"VIT_12s0142g00160"	0.650448163485501	0.0135558551051578
"M10"	"VIT_05s0049g00770"	"VIT_12s0142g00160"	0.689195185675919	0.0241781100795911
"M10"	"VIT_17s0000g05580"	"VIT_12s0142g00160"	0.80791205744644	0.118478868194078
"M10"	"VIT_16s0098g00790"	"VIT_12s0142g00160"	0.711675466227584	0.033328820580452
"M10"	"VIT_17s0000g01930"	"VIT_12s0142g00160"	0.794171458713524	0.0998028058997577
"M10"	"VIT_02s0033g01120"	"VIT_09s0002g06400"	0.549768317861907	0.00252230201221377
"M10"	"VIT_18s0001g12830"	"VIT_09s0002g06400"	0.474586681497805	0.000579636149584721
"M10"	"VIT_17s0000g00430"	"VIT_09s0002g06400"	0.555529117860912	0.00279942136406538
"M10"	"VIT_08s0040g01890"	"VIT_09s0002g06400"	0.579581522334256	0.0042770597030312
"M10"	"VIT_08s0007g08010"	"VIT_09s0002g06400"	0.51852707805899	0.00140512320675398
"M10"	"VIT_13s0019g02180"	"VIT_09s0002g06400"	0.869184524843592	0.246104669773713
"M10"	"VIT_05s0049g00770"	"VIT_09s0002g06400"	0.60177566363794	0.0062279655973442
"M10"	"VIT_17s0000g05580"	"VIT_09s0002g06400"	0.633953014900717	0.0104850550655089
"M10"	"VIT_16s0098g00790"	"VIT_09s0002g06400"	0.673088370207047	0.0190862614087668
"M10"	"VIT_17s0000g01930"	"VIT_09s0002g06400"	0.690612833248853	0.0246800731881694
"M10"	"VIT_12s0142g00160"	"VIT_09s0002g06400"	0.641772980754446	0.011852618046623
"M10"	"VIT_02s0033g01120"	"VIT_13s0067g00700"	0.783879470052214	0.0875977403654024
"M10"	"VIT_18s0001g12830"	"VIT_13s0067g00700"	0.701800106323245	0.0289823967093695
"M10"	"VIT_17s0000g00430"	"VIT_13s0067g00700"	0.766632917034676	0.0701252829920002
"M10"	"VIT_08s0040g01890"	"VIT_13s0067g00700"	0.818199962162137	0.134460447029196
"M10"	"VIT_08s0007g08010"	"VIT_13s0067g00700"	0.714938500952259	0.0348888660015749
"M10"	"VIT_13s0019g02180"	"VIT_13s0067g00700"	0.838629076959989	0.172067624060739
"M10"	"VIT_05s0049g00770"	"VIT_13s0067g00700"	0.815175402232687	0.129571851439387
"M10"	"VIT_17s0000g05580"	"VIT_13s0067g00700"	0.835511081992164	0.165776187023725
"M10"	"VIT_16s0098g00790"	"VIT_13s0067g00700"	0.872934976924234	0.256932446561844
"M10"	"VIT_17s0000g01930"	"VIT_13s0067g00700"	0.884209861407759	0.292114787124779
"M10"	"VIT_12s0142g00160"	"VIT_13s0067g00700"	0.815180637077401	0.129580172447615
"M10"	"VIT_09s0002g06400"	"VIT_13s0067g00700"	0.781831829156308	0.0853362334559239
"M10"	"VIT_02s0033g01120"	"VIT_19s0015g01300"	0.822960941528948	0.142492575720433
"M10"	"VIT_18s0001g12830"	"VIT_19s0015g01300"	0.875218545290254	0.263733388636399
"M10"	"VIT_17s0000g00430"	"VIT_19s0015g01300"	0.914025104700067	0.406987661159284
"M10"	"VIT_08s0040g01890"	"VIT_19s0015g01300"	0.702547383761237	0.0292924844712386
"M10"	"VIT_08s0007g08010"	"VIT_19s0015g01300"	0.681044221361438	0.0214660987591301
"M10"	"VIT_13s0019g02180"	"VIT_19s0015g01300"	0.709247543441116	0.032209086107009
"M10"	"VIT_05s0049g00770"	"VIT_19s0015g01300"	0.915473755687169	0.413484264677229
"M10"	"VIT_17s0000g05580"	"VIT_19s0015g01300"	0.882493196576263	0.286492765440065
"M10"	"VIT_16s0098g00790"	"VIT_19s0015g01300"	0.860866285265855	0.223540900246202
"M10"	"VIT_17s0000g01930"	"VIT_19s0015g01300"	0.895075165138888	0.330061655084698
"M10"	"VIT_12s0142g00160"	"VIT_19s0015g01300"	0.770295270214627	0.0735482446511066
"M10"	"VIT_09s0002g06400"	"VIT_19s0015g01300"	0.625684394449806	0.00919503170968203
"M10"	"VIT_13s0067g00700"	"VIT_19s0015g01300"	0.793219791635088	0.0986132830268372
"M10"	"VIT_02s0033g01120"	"VIT_12s0059g00490"	0.775119375162962	0.0782863288988651
"M10"	"VIT_18s0001g12830"	"VIT_12s0059g00490"	0.867067061296031	0.240174493098692
"M10"	"VIT_17s0000g00430"	"VIT_12s0059g00490"	0.753459707971225	0.0589658182247075
