Module	Cultivar	Stage	Year	Mean	SD	N	SE
M9	Pinot noir	Veraison	2013	-3.32819544634364	0.278223119238514	3	0.160632192787133
M9	Cabernet Sauvignon	Veraison	2013	-2.52608152121688	1.29534511894955	3	0.747867853118993
M9	Pinot noir	Harvest	2013	-0.804181086343608	1.40479125481787	3	0.811056609124328
M9	Cabernet Sauvignon	Harvest	2013	-0.084546013178604	0.960668722028716	3	0.554642345265333
M9	Pinot noir	FruitSet	2014	0.994837831081276	1.24734485104727	3	0.720154885524432
M9	Cabernet Sauvignon	FruitSet	2014	0.78025412116969	0.84385736767558	3	0.487201278385145
M9	Pinot noir	Veraison	2014	1.19302647476048	4.6019798033483	3	2.65695427826836
M9	Cabernet Sauvignon	Veraison	2014	7.4231642500421	7.58578209276828	3	4.37965333327361
M9	Pinot noir	Harvest	2014	-2.78429668888024	0.680760518233008	3	0.393037268455496
M9	Cabernet Sauvignon	Harvest	2014	0.341054660514411	2.95655698745354	3	1.70696897258077
M10	Pinot noir	FruitSet	2012	-6.63551641538849	1.15125251699145	3	0.664675950590247
M10	Cabernet Sauvignon	FruitSet	2012	-6.92058785859424	0.19798768082277	3	0.114308240819256
M10	Pinot noir	Veraison	2012	7.78335421907146	0.47026904754222	3	0.271509961190049
M10	Cabernet Sauvignon	Veraison	2012	5.36137802273682	0.385065790526306	3	0.222317837816079
M10	Pinot noir	Harvest	2012	3.40369402623513	0.530605190911687	3	0.306345049806275
M10	Cabernet Sauvignon	Harvest	2012	-1.43623193901761	1.6058463632875	3	0.927135830121222
M10	Pinot noir	FruitSet	2013	-6.17834938917521	0.502111123433306	3	0.289893992277325
M10	Cabernet Sauvignon	FruitSet	2013	-5.48427440845497	1.04063652473594	3	0.600811777684854
M10	Pinot noir	Veraison	2013	8.05179501674777	0.626417804440648	3	0.361662488018982
M10	Cabernet Sauvignon	Veraison	2013	6.11681481699224	0.575921341136591	3	0.332508341337261
M10	Pinot noir	Harvest	2013	1.00161880054514	0.629099020931858	3	0.363210489081938
M10	Cabernet Sauvignon	Harvest	2013	-2.15161905412649	0.784679735041732	3	0.453035056253988
M10	Pinot noir	FruitSet	2014	-6.9186102460719	0.60764806499009	3	0.350825773894584
M10	Cabernet Sauvignon	FruitSet	2014	-7.044757420837	0.302857549316475	3	0.174854887623977
M10	Pinot noir	Veraison	2014	5.34444491855018	0.917616598154058	3	0.529786189957114
M10	Cabernet Sauvignon	Veraison	2014	3.31752802953397	0.673313664616636	3	0.388737825515468
M10	Pinot noir	Harvest	2014	2.23163348164526	0.524001096439679	3	0.302532174085108
M10	Cabernet Sauvignon	Harvest	2014	0.157685399607962	0.498153537253941	3	0.287609078831327
