Module	Stage	Year	contrast	estimate	SE	df	t.ratio	p.value	CI_low_unadjusted	CI_high_unadjusted	FDR_global_90	FDR_within_stage_year_10	FDR_within_module_9
M7	FruitSet	2013	Cabernet Sauvignon - Pinot noir	-0.081797283206033	1.7827939133336	36	-0.0458815136142586	0.963658263820901	-3.69747092382237	3.5338763574103	0.991705977140649	0.963658263820901	0.963658263820901
M7	Veraison	2013	Cabernet Sauvignon - Pinot noir	-8.749173486173	1.7827939133336	36	-4.90756302270135	1.99215706625927e-05	-12.3648471267893	-5.13349984555667	8.53781599825402e-05	6.64052355419757e-05	0.000179294135963335
M7	Harvest	2013	Cabernet Sauvignon - Pinot noir	-1.39581462860082	1.7827939133336	36	-0.782936613234687	0.438784661401666	-5.01148826921716	2.21985901201551	0.626835230573809	0.595243758983105	0.789812390522999
M7	FruitSet	2014	Cabernet Sauvignon - Pinot noir	-0.382963118472437	1.7827939133336	36	-0.214810649513799	0.831127200107589	-3.99863675908877	3.2327105221439	0.961956821704832	0.989629921095773	0.963658263820901
M7	Veraison	2014	Cabernet Sauvignon - Pinot noir	-1.73155693902871	1.7827939133336	36	-0.971260293227563	0.337899599340144	-5.34723057964504	1.88411670158763	0.506849399010216	0.375443999266827	0.760274098515324
M7	Harvest	2014	Cabernet Sauvignon - Pinot noir	0.0991749562228985	1.7827939133336	36	0.055628951546875	0.955944997588022	-3.51649868439344	3.71484859683923	0.991705977140649	0.955944997588022	0.963658263820901
M8	FruitSet	2012	Cabernet Sauvignon - Pinot noir	2.15702821586867	1.12851150872462	36	1.91139230676206	0.0639408259629383	-0.13169920501312	4.44575563675046	0.147555752222165	0.210799112394873	0.191822477888815
M8	Veraison	2012	Cabernet Sauvignon - Pinot noir	0.250133465791158	1.12851150872462	36	0.221649016299219	0.825839651575332	-2.03859395509063	2.53886088667295	0.961956821704832	0.91759961286148	0.825839651575332
M8	Harvest	2012	Cabernet Sauvignon - Pinot noir	-0.513916972754446	1.12851150872462	36	-0.455393647987913	0.651560920864917	-2.80264439363624	1.77481044812734	0.82592229405412	0.814451151081146	0.733006035973032
M8	FruitSet	2013	Cabernet Sauvignon - Pinot noir	-2.35870527097995	1.12851150872462	36	-2.09010298321692	0.0437335091814502	-4.64743269186174	-0.0699778500981569	0.109333772953626	0.0874670183629005	0.191822477888815
