TermID	TermName	OfficialID	OfficialName	Namespace	Official_is_obsolete	Grapedia_label_says_obsolete	Status	Association_pairs
GO:0010109	GO_BP:regulation of photosynthesis	GO:0010109	regulation of photosynthesis	biological_process	FALSE	FALSE	live_primary_id	2
GO:0010114	GO_BP:response to red light	GO:0010114	response to red light	biological_process	FALSE	FALSE	live_primary_id	7
GO:0010118	GO_BP:stomatal movement	GO:0010118	stomatal movement	biological_process	FALSE	FALSE	live_primary_id	2
GO:0010119	GO_BP:regulation of stomatal movement	GO:0010119	regulation of stomatal movement	biological_process	FALSE	FALSE	live_primary_id	4
GO:0010143	GO_BP:cutin biosynthetic process	GO:0010143	cutin biosynthetic process	biological_process	FALSE	FALSE	live_primary_id	3
GO:0010148	GO_BP:transpiration	GO:0010148	transpiration	biological_process	FALSE	FALSE	live_primary_id	1
GO:0010150	GO_BP:leaf senescence	GO:0010150	leaf senescence	biological_process	FALSE	FALSE	live_primary_id	7
GO:0010154	GO_BP:fruit development	GO:0010154	fruit development	biological_process	FALSE	FALSE	live_primary_id	32
GO:0010158	GO_BP:abaxial cell fate specification	GO:0010158	abaxial cell fate specification	biological_process	FALSE	FALSE	live_primary_id	3
GO:0010166	GO_BP:wax metabolic process	GO:0010166	wax metabolic process	biological_process	FALSE	FALSE	live_primary_id	2
GO:0010167	GO_BP:response to nitrate	GO:0010167	response to nitrate	biological_process	FALSE	FALSE	live_primary_id	6
GO:0010168	GO_CC:ER body	GO:0010168	ER body	cellular_component	FALSE	FALSE	live_primary_id	1
GO:0010170	GO_CC:glucose-1-phosphate adenylyltransferase complex	GO:0010170	glucose-1-phosphate adenylyltransferase complex	cellular_component	FALSE	FALSE	live_primary_id	1
GO:0010182	GO_BP:sugar mediated signaling pathway	GO:0010182	sugar mediated signaling pathway	biological_process	FALSE	FALSE	live_primary_id	6
GO:0010183	GO_BP:pollen tube guidance	GO:0010183	pollen tube guidance	biological_process	FALSE	FALSE	live_primary_id	4
GO:0010187	GO_BP:negative regulation of seed germination	GO:0010187	negative regulation of seed germination	biological_process	FALSE	FALSE	live_primary_id	1
GO:0010189	GO_BP:vitamin E biosynthetic process	GO:0010189	vitamin E biosynthetic process	biological_process	FALSE	FALSE	live_primary_id	3
GO:0010191	GO_BP:mucilage metabolic process	GO:0010191	obsolete mucilage metabolic process	biological_process	TRUE	FALSE	obsolete_by_ontology	4
GO:0010192	GO_BP:mucilage biosynthetic process	GO:0010192	mucilage biosynthetic process	biological_process	FALSE	FALSE	live_primary_id	3
