SampleName	Module	Cultivar	Stage	Year	Canonical_eigengene	Hub_core_PC1
GSM2627693	M6	Cabernet Sauvignon	FruitSet	2012	20.7832983962504	7.038804776599419
GSM2627709	M6	Cabernet Sauvignon	Veraison	2012	-2.11275781467388	-0.8502707173982922
GSM2627711	M6	Cabernet Sauvignon	Veraison	2012	-2.45356804425253	-1.193080600432003
GSM2627713	M6	Cabernet Sauvignon	Veraison	2012	-2.70156554054706	-1.249581026029785
GSM2627739	M6	Cabernet Sauvignon	Harvest	2012	-4.89957638831408	-1.7045125265723986
GSM2627740	M6	Cabernet Sauvignon	Harvest	2012	-5.57376464112068	-1.8175213878059762
GSM2627741	M6	Cabernet Sauvignon	Harvest	2012	-4.87918968720922	-1.7886048830991417
GSM2627742	M6	Cabernet Sauvignon	FruitSet	2013	10.455768884651	3.5558544230176317
GSM2627743	M6	Cabernet Sauvignon	FruitSet	2013	10.6360686902178	3.713017685719376
GSM2627744	M6	Cabernet Sauvignon	FruitSet	2013	11.1964340685945	3.6142671513553086
GSM2627754	M6	Cabernet Sauvignon	Veraison	2013	-0.789340084811616	-0.7114902572877948
GSM2627755	M6	Cabernet Sauvignon	Veraison	2013	-2.07011261929014	-1.2890543395863359
GSM2627756	M6	Cabernet Sauvignon	Veraison	2013	-2.64993474213184	-1.5687233100343425
GSM2627781	M6	Cabernet Sauvignon	Harvest	2013	-4.93245704293569	-1.7591329280891945
GSM2627782	M6	Cabernet Sauvignon	Harvest	2013	-4.35244549941488	-1.6874452451398028
GSM2627783	M6	Cabernet Sauvignon	Harvest	2013	-4.55922546248628	-1.7942231044417098
GSM2627784	M6	Cabernet Sauvignon	FruitSet	2014	-0.502649556280228	0.6480489450953059
GSM2627785	M6	Cabernet Sauvignon	FruitSet	2014	-0.668040635664037	0.22624612480660466
GSM2627786	M6	Cabernet Sauvignon	FruitSet	2014	0.196002457306463	0.5045303954605217
GSM2627793	M6	Cabernet Sauvignon	Veraison	2014	0.512304017221781	0.29413480904828093
GSM2627794	M6	Cabernet Sauvignon	Veraison	2014	-1.29291544773217	-0.490213766296238
GSM2627795	M6	Cabernet Sauvignon	Veraison	2014	-0.226831891462234	-0.153583413877834
GSM2627820	M6	Cabernet Sauvignon	Harvest	2014	-4.65152855978248	-1.713329680922299
GSM2627821	M6	Cabernet Sauvignon	Harvest	2014	-5.17940502546721	-1.6866667062606848
GSM2627822	M6	Cabernet Sauvignon	Harvest	2014	-5.03449463858359	-1.5927598075369074
GSM2627823	M6	Pinot noir	FruitSet	2012	12.8528600507756	5.155170619568825
GSM2627824	M6	Pinot noir	FruitSet	2012	12.9198011464998	5.4405298068203205
GSM2627825	M6	Pinot noir	FruitSet	2012	11.9679277121012	4.730066102419296
GSM2627835	M6	Pinot noir	Veraison	2012	-3.40943894772155	-1.5419449658636852
GSM2627836	M6	Pinot noir	Veraison	2012	-3.87143574173556	-1.5013587314307235
GSM2627837	M6	Pinot noir	Veraison	2012	-3.67700710445818	-1.6945687937780451
