Module	Cultivar	Stage	Year	N	Canonical_Mean	Canonical_SD	Canonical_SE	HubCore_Mean	HubCore_SD	HubCore_SE
M2	Pinot noir	FruitSet	2012	3	11.196678636897367	0.28338309852173543	0.1636113082153142	4.58010577804527	0.161099622664497	0.0930109105116945
M2	Pinot noir	FruitSet	2013	3	11.795018943502699	0.4925340122044479	0.28436464453128446	4.569790335266645	0.03655123735993098	0.02110286672897006
M2	Pinot noir	FruitSet	2014	3	11.942598456484966	1.0903821409280805	0.6295324225843878	4.1791516157533275	0.21313599437693026	0.12305412372751925
M2	Pinot noir	Veraison	2012	3	10.9059320745345	0.35851193364179157	0.20698696139578163	4.2493348464837775	0.09756975007448775	0.05633192147027001
M2	Pinot noir	Veraison	2013	3	11.009051569185933	0.4648668412435486	0.26839099592929383	4.101869162034851	0.08719630577196169	0.050342810609783004
M2	Pinot noir	Veraison	2014	3	11.736268422774467	0.3521535327154587	0.20331593690934777	4.115960828133463	0.05521369890342492	0.03187764392484732
M2	Pinot noir	Harvest	2012	3	8.854917389814469	0.2997184538086251	0.17304252998750813	3.6669342496170647	0.018636614101366515	0.010759854168207133
M2	Pinot noir	Harvest	2013	3	7.63570422658868	0.3221966253849155	0.18602030839796999	3.815405907260862	0.0721542623472638	0.041658282789371635
M2	Pinot noir	Harvest	2014	3	9.06049890916074	0.09673852179397562	0.05585201159875831	3.6494013202177222	0.04934570760270849	0.02848975756777631
M3	Cabernet Sauvignon	FruitSet	2012	3	8.85047842805219	0.49851455205702205	0.2878175108250674	3.344633302354218	0.42144029076326106	0.24331866531952295
M3	Cabernet Sauvignon	FruitSet	2013	3	6.3437338855738865	0.2453530295748398	0.14165463767152398	2.813356840330737	0.07867951871372995	0.045425641309082186
M3	Cabernet Sauvignon	FruitSet	2014	3	-12.332737004822933	0.17952138147207336	0.10364671791819506	-4.634641281106331	0.015289252927841055	0.008827254293597308
M3	Cabernet Sauvignon	Veraison	2012	3	6.856241582873	0.8384937004689015	0.48410456367952576	3.0905986708152824	0.23347289606258184	0.13479563939021316
M3	Cabernet Sauvignon	Veraison	2013	3	7.451764963114752	0.1600184154346737	0.09238667522650623	2.6142531017582056	0.21924096247473956	0.12657882870218354
M3	Cabernet Sauvignon	Veraison	2014	3	-12.250857522472932	0.20188842168724438	0.11656033460739923	-4.579879646098619	0.07867357838264333	0.04542221165733025
M3	Cabernet Sauvignon	Harvest	2012	3	6.3689097697216965	0.6841218537890107	0.39497793644359114	3.097579337724648	0.3381418379696089	0.19522628117602853
M3	Cabernet Sauvignon	Harvest	2013	3	-11.605813626851434	0.1307726779649273	0.07550164082569903	-4.512655046874728	0.11161033862706542	0.06443825905068151
M3	Cabernet Sauvignon	Harvest	2014	3	-11.865781158286934	0.15239803993735848	0.08798704938180527	-4.526572168549542	0.021314017164499485	0.012305653547436082
M3	Pinot noir	FruitSet	2012	3	9.342080536162241	0.5987749851518901	0.34570289886145794	3.575479080464984	0.25472379260134387	0.1470648502273883
M3	Pinot noir	FruitSet	2013	3	5.912708169242578	0.3168388752937554	0.18292700994058794	2.6230526191706116	0.08364594360789426	0.04829300805863801
M3	Pinot noir	FruitSet	2014	3	-12.143995994231632	0.2267923560565882	0.13093862781942067	-4.5787781367753295	0.06310921482919615	0.03643612216998232
M3	Pinot noir	Veraison	2012	3	8.536162219313153	0.710659490893696	0.4102994483696378	2.8417382473012975	0.06511299529937017	0.03759300536383421
M3	Pinot noir	Veraison	2013	3	7.053717800437724	0.4376019690321716	0.25264961461863455	2.689976522819098	0.1707241406978634	0.09856762858907898
M3	Pinot noir	Veraison	2014	3	-10.379623552821565	0.18230390187803455	0.10525320682360238	-4.585306048306979	0.02507860111978394	0.014479137107406509
M3	Pinot noir	Harvest	2012	3	6.983076742301243	0.21973251858848183	0.12686262875677445	2.809162866353248	0.12435106880374601	0.07179412304786044
M3	Pinot noir	Harvest	2013	3	7.10344227227889	0.3136432453329678	0.1810820121224968	2.5899327524304767	0.0942230206245931	0.05439968632146849
M3	Pinot noir	Harvest	2014	3	-10.223507509583966	0.25859889086136334	0.1493021392509468	-4.671931013811274	0.03255814984649495	0.018797456578190035
M4	Cabernet Sauvignon	FruitSet	2012	3	-4.6981558362954425	0.5673161781726324	0.327540148183599	-0.2952474417043082	0.13500798385328447	0.07794689582044244
M4	Cabernet Sauvignon	FruitSet	2013	3	0.8262917490406254	0.8036089128297823	0.46396382214545734	2.0537135426521638	0.18235905738723535	0.10528505087168674
M4	Cabernet Sauvignon	FruitSet	2014	3	-1.6367691818951433	0.37472034394181003	0.21634489144563318	0.9140890549674379	0.24021038571556624	0.13868553085502602
M4	Cabernet Sauvignon	Veraison	2012	3	13.581654419766332	0.29203710149834156	0.16860769916342558	4.518828397287764	0.2886789199160468	0.16666885212290003
M4	Cabernet Sauvignon	Veraison	2013	3	12.939123607101699	0.7478792221290879	0.43178827021755684	4.294524073102823	0.09607820219771758	0.05547077590210754
M4	Cabernet Sauvignon	Veraison	2014	3	10.722929201706398	0.6971854476860406	0.40252020589662535	4.069952291856916	0.3522082710652842	0.20334754011035452
M4	Cabernet Sauvignon	Harvest	2012	3	-8.922391669241309	2.4278723940081757	1.4017327802386814	-4.742166321443754	0.5281774797905595	0.3049434101369777
M4	Cabernet Sauvignon	Harvest	2013	3	-11.383456252037599	1.110687024457674	0.6412554525560626	-5.16679819373148	0.22925524959500004	0.13236058006680812
M4	Cabernet Sauvignon	Harvest	2014	3	-7.008994356062683	1.1167250844797028	0.6447415281351639	-3.460036874799348	0.44752788505583135	0.25838034490684814
M4	Pinot noir	FruitSet	2012	3	-6.310470240510413	2.0149664035865325	1.1633413955187366	-0.7884263190069837	0.5712943529378178	0.3298369484551622
M4	Pinot noir	FruitSet	2013	3	-1.3051491838264155	0.519872274825923	0.30014839781496977	0.593027466595755	0.1512089420061037	0.0873005233711025
M4	Pinot noir	FruitSet	2014	3	-1.469684007374824	0.7636711171362905	0.4409057250509796	0.8508090045348059	0.2400394799944522	0.13858685839093476
M4	Pinot noir	Veraison	2012	3	11.910274341456764	1.0055030547344033	0.5805274593218988	3.25696333347175	0.3755149400865169	0.21680365174367675
M4	Pinot noir	Veraison	2013	3	11.947358638056201	0.2782481241485026	0.16064662937864638	3.6528484558704952	0.06439774758580026	0.03718005690386735
M4	Pinot noir	Veraison	2014	3	9.39577107149592	0.5145151570901344	0.2970554644481317	3.197460942529465	0.1380001730246765	0.0796744370440119
